date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:38	2440/2440	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Jan%202020%2014:06:50%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/jquery.countTo.js	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/jquery.countTo.js	(from https://freefirehack.co/diamonds-generator/)
14:31:38	20305/20305	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2019%20Jan%202020%2014:06:50%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/sweetalert2.min.js	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/sweetalert2.min.js	(from https://freefirehack.co/diamonds-generator/)
14:31:38	138802/138802	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Jan%202020%2014:06:48%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/jquery-3.2.1.js	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/jquery-3.2.1.js	(from https://freefirehack.co/diamonds-generator/)
14:31:41	21143/21143	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2019%20Jan%202020%2014:06:50%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/jquery.magnific-popup.min.js	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/jquery.magnific-popup.min.js	(from https://freefirehack.co/diamonds-generator/)
14:31:42	1021/1021	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Jan%202020%2014:06:50%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/form-scripts.js	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/form-scripts.js	(from https://freefirehack.co/diamonds-generator/)
14:31:42	196/196	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Jan%202020%2014:06:50%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/scripts.js	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/js/scripts.js	(from https://freefirehack.co/diamonds-generator/)
14:31:43	18031/18031	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Nov%202020%2013:31:45%20GMT	https://generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Netherlands.png	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Netherlands.png	(from https://freefirehack.co/diamonds-generator/)
14:31:43	18031/18031	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Nov%202020%2013:31:45%20GMT	https://generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Germany.png	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Germany.png	(from https://freefirehack.co/diamonds-generator/)
14:31:45	18031/18031	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Nov%202020%2013:31:46%20GMT	https://generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Sweden.png	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Sweden.png	(from https://freefirehack.co/diamonds-generator/)
14:31:45	18031/18031	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Nov%202020%2013:31:46%20GMT	https://generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Australia.png	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/generatortool.online/wp-content/plugins/ogads-incentive-generator/template/gen/img/cf/Australia.png	(from https://freefirehack.co/diamonds-generator/)
